countypop,rate,countynum
152531,.52,1
37528,.605,2
11069,.45,3
25822,.767,4
27423,.4,5
17834,.37,6
47854,.53,7
20890,.78,8
35148,.74,9
110140,.4425,10
243855,.525,11
90722,.52,12
181253,.63,13
83117,.6599,14
9921,.59,15
67696,.3,16
23654,.659,17
154992,.53,18
64553,.6219,19
27300,.385,20
14796,.685,21
10460,.36,22
98209,.72,23
57657,.815,24
104965,.4728,25
327643,.74,26
23643,.32,27
34216,.28,28
163364,.54,29
41560,.62,30
59476,.71,31
272314,.7459,32
56089,.86,33
354878,.674,34
61651,.8725,35
207506,.835,36
11944,.64,37
8942,.44,38
60863,.795,39
21489,.756,40
495231,.7824,41
54397,.68,42
118615,.725,43
59684,.5413,44
108448,.5136,45
24466,.84,46
49065,.73,47
5815,.58,48
161522,.485,49
40606,.28,50
172570,.78,51
10327,.74,52
58304,.75,53
59314,.8,54
79026,.598,55
34459,.279,56
21193,.56,57
24083,.67,58
45462,.55,59
940697,.8166,60
15501,.4,61
27864,.67,62
89395,.465,63
96122,.67,64
206774,.4655,65
21844,.87,66
184228,.585,67
135776,.858,68
13214,.6525,69
40438,,70
53437,.512,71
13537,.44,72
39700,.7,73
170263,.665,74
20453,.52,75
142901,.586,76
46459,.81,77
134651,.77,78
93558,.698,79
138309,.6225,80
68392,.53,81
63746,.785,82
36029,.99,83
60936,.67,84
47551,.64,85
73575,.582,86
14263,.33,87
33275,.3949,88
4342,.66,89
205717,.665,90
45558,.782,91
925938,.534,92
20883,.62,93
13060,.79,94
52111,.313,95
123710,.7025,96
69592,.65,97
81380,.73,98
38442,.69,99
18069,.45,100
